Category,Subcategory,Sub-subcategory
Security & Defense (Physical),Defense Industry,Training/Simulation
Environmental & Cleantech,Waste & Recycling,Solid Waste
Environmental & Cleantech,Waste & Recycling,Hazardous Waste
Environmental & Cleantech,Waste & Recycling,Recycling/Materials Recovery
Environmental & Cleantech,Water & Air,Water Treatment
Environmental & Cleantech,Water & Air,Wastewater
Environmental & Cleantech,Water & Air,Air Quality/Pollution Control
Environmental & Cleantech,Carbon & Sustainability,Carbon Markets/Offsets
Environmental & Cleantech,Carbon & Sustainability,ESG Services
Environmental & Cleantech,Carbon & Sustainability,Energy Efficiency
"Printing, Packaging & Labeling",Printing,Commercial Printing
"Printing, Packaging & Labeling",Printing,Digital/On-demand
"Printing, Packaging & Labeling",Printing,Large Format/Signage
"Printing, Packaging & Labeling",Packaging,Flexible Packaging
"Printing, Packaging & Labeling",Packaging,Rigid Packaging
"Printing, Packaging & Labeling",Packaging,Sustainable Packaging
"Printing, Packaging & Labeling",Labeling & Converting,Labels
"Printing, Packaging & Labeling",Labeling & Converting,Converters
"Printing, Packaging & Labeling",Labeling & Converting,Coding/Marking
Mining & Materials,Metals & Mining,Gold
Mining & Materials,Metals & Mining,Base Metals
Mining & Materials,Metals & Mining,Precious Metals
Mining & Materials,Metals & Mining,Steel
Mining & Materials,Non-metallic Minerals,Aggregates
Mining & Materials,Non-metallic Minerals,Cement
Mining & Materials,Non-metallic Minerals,Glass
Mining & Materials,Non-metallic Minerals,Ceramics
Mining & Materials,Materials,Specialty Chemicals
Mining & Materials,Materials,Industrial Gases
Mining & Materials,Materials,Composites
HR & Staffing,Staffing & Recruiting,Temporary Staffing
HR & Staffing,Staffing & Recruiting,Permanent Placement
HR & Staffing,Staffing & Recruiting,Executive Search
HR & Staffing,HR Services,PEO
HR & Staffing,HR Services,Payroll
HR & Staffing,HR Services,Benefits Administration
HR & Staffing,HR Services,Background Screening
HR & Staffing,HR Tech (Services-oriented),ATS
HR & Staffing,HR Tech (Services-oriented),HRIS
HR & Staffing,HR Tech (Services-oriented),Performance & Engagement
Pets & Veterinary,Veterinary,Clinics
Pets & Veterinary,Veterinary,Emergency/24-7
Pets & Veterinary,Veterinary,Specialty/Referral
Pets & Veterinary,Services,Grooming
Pets & Veterinary,Services,Boarding/Daycare
Pets & Veterinary,Services,Training
Pets & Veterinary,Products,Pet Food
Pets & Veterinary,Products,Supplies
Pets & Veterinary,Products,Insurance
Events & Exhibitions,Event Services,Event Planning
Events & Exhibitions,Event Services,Trade Shows/Conferences
Events & Exhibitions,Event Services,Exhibit Design/Booths
Events & Exhibitions,Event Services,AV/Lighting
Events & Exhibitions,Event Services,Catering (Events)
Events & Exhibitions,Venues,Convention Centers
Events & Exhibitions,Venues,Hotels/Ballrooms
Events & Exhibitions,Venues,Outdoor/Festival Grounds
